Precision
screen,0.5128205128205128
software,0.4782608695652174
button,0.45454545454545453
headphones,0.4230769230769231
size,0.4
battery,0.37777777777777777
price,0.3055555555555556
storage,0.2857142857142857
sound,0.26



Recall
screen,0.6666666666666666
battery,0.5666666666666667
sound,0.43333333333333335
headphones,0.36666666666666664
price,0.36666666666666664
software,0.36666666666666664
size,0.3333333333333333
button,0.16666666666666666
storage,0.13333333333333333



F-measure
screen,0.5797101449275363
battery,0.4533333333333333
software,0.41509433962264153
headphones,0.3928571428571428
size,0.3636363636363636
price,0.3333333333333333
sound,0.325
button,0.2439024390243902
storage,0.18181818181818182
